date,commits,authors
2016-09-06,1,1
2016-09-07,2,2
2016-09-08,6,2
2016-09-09,1,1
2016-09-12,3,2
2016-09-14,1,1
2016-09-15,5,2
2016-09-16,1,1
2016-09-19,3,3
2016-09-20,4,2
2016-09-21,9,5
2016-09-22,1,1
2016-09-23,4,4
2016-09-26,4,4
2016-09-27,2,2
2016-09-28,1,1
2016-09-29,1,1
2016-09-30,2,1
2016-10-02,1,1
2016-10-03,3,2
2016-10-04,5,3
2016-10-05,6,2
2016-10-06,7,1
2016-10-07,4,1
2016-10-10,1,1
2016-10-11,3,2
2016-10-12,1,1
2016-10-13,5,2
2016-10-14,1,1
2016-10-17,1,1
2016-10-18,5,2
2016-10-19,3,3
2016-10-20,5,3
2016-10-21,6,4
2016-10-24,2,1
2016-10-25,5,4
2016-10-26,6,3
2016-10-27,1,1
2016-10-28,2,1
2016-10-31,2,1
2016-11-02,3,3
2016-11-04,1,1
2016-11-06,2,1
2016-11-07,2,1
2016-11-08,6,2
2016-11-15,1,1
2016-11-21,2,2
2016-11-22,1,1
2016-11-23,4,2
2016-11-24,3,3
2016-11-25,4,3
2016-11-27,2,1
2016-11-28,2,1
2016-11-29,2,1
2016-11-30,3,2
2016-12-01,1,1
2016-12-02,3,2
2016-12-05,4,3
2016-12-07,1,1
2016-12-09,5,2
2016-12-11,1,1
2016-12-12,1,1
2016-12-14,1,1
2016-12-15,1,1
2016-12-16,1,1
2016-12-20,2,1
2016-12-21,4,3
2016-12-22,2,2
2016-12-29,3,2
2016-12-30,1,1
2017-01-02,2,1
2017-01-03,3,2
2017-01-04,7,2
2017-01-05,4,2
2017-01-06,2,2
2017-01-08,4,1
2017-01-09,7,3
2017-01-10,7,3
2017-01-11,5,4
2017-01-12,2,2
2017-01-13,3,1
2017-01-16,6,3
2017-01-18,11,3
2017-01-19,5,1
2017-01-20,4,3
2017-01-23,1,1
2017-01-24,4,2
2017-01-25,2,2
2017-01-26,2,1
2017-01-27,5,4
2017-01-30,1,1
2017-01-31,1,1
2017-02-01,1,1
2017-02-02,3,2
2017-02-07,3,3
2017-02-08,1,1
2017-02-09,3,2
2017-02-10,4,3
2017-02-13,1,1
2017-02-14,2,2
2017-02-15,3,2
2017-02-16,5,4
2017-02-17,3,2
2017-02-20,1,1
2017-02-21,1,1
2017-02-22,11,4
2017-02-23,3,2
2017-02-28,3,2
2017-03-01,2,2
2017-03-02,1,1
2017-03-03,4,3
2017-03-06,4,1
2017-03-07,3,2
2017-03-08,4,4
2017-03-09,6,4
2017-03-10,3,2
2017-03-13,5,3
2017-03-14,15,5
2017-03-15,5,3
2017-03-16,2,1
2017-03-17,2,1
2017-03-20,1,1
2017-03-21,4,3
2017-03-22,2,2
2017-03-23,6,2
2017-03-24,1,1
2017-03-25,3,1
2017-03-28,2,2
2017-03-30,1,1
2017-03-31,2,1
2017-04-03,2,2
2017-04-04,3,2
2017-04-05,4,3
2017-04-06,2,2
2017-04-07,2,2
2017-04-10,5,5
2017-04-11,4,1
2017-04-12,3,1
2017-04-13,2,2
2017-04-14,5,4
2017-04-18,6,5
2017-04-19,4,4
2017-04-20,10,5
2017-04-21,4,2
2017-04-24,1,1
2017-04-25,2,2
2017-04-26,5,3
2017-04-27,4,3
2017-04-28,6,4
2017-05-02,4,3
2017-05-03,3,2
2017-05-04,5,4
2017-05-05,2,1
2017-05-09,5,3
2017-05-10,2,1
2017-05-11,4,2
2017-05-12,4,2
2017-05-15,5,4
2017-05-16,14,3
2017-05-17,4,2
2017-05-18,3,3
2017-05-19,5,3
2017-05-21,3,1
2017-05-22,1,1
2017-05-23,1,1
2017-05-24,2,1
2017-05-30,9,5
2017-05-31,8,5
2017-06-01,3,2
2017-06-02,1,1
2017-06-06,3,2
2017-06-07,9,1
2017-06-08,7,2
2017-06-09,5,4
2017-06-12,3,2
2017-06-13,3,2
2017-06-14,2,2
2017-06-15,2,1
2017-06-16,2,1
2017-06-18,1,1
2017-06-19,3,2
2017-06-20,1,1
2017-06-21,1,1
2017-06-22,5,4
2017-06-23,1,1
2017-06-27,4,3
2017-06-28,6,3
2017-06-29,2,1
2017-06-30,3,2
2017-07-03,1,1
2017-07-05,2,1
2017-07-06,2,2
2017-07-07,1,1
2017-07-11,3,3
2017-07-12,3,2
2017-07-13,3,2
2017-07-17,1,1
2017-07-18,5,3
2017-07-19,2,1
2017-07-20,2,1
2017-07-21,3,3
2017-07-24,3,2
2017-07-25,2,2
2017-07-26,2,1
2017-07-27,3,2
2017-07-28,1,1
2017-07-31,1,1
2017-08-01,3,3
2017-08-02,6,5
2017-08-03,3,3
2017-08-04,3,3
2017-08-07,3,3
2017-08-08,4,2
2017-08-09,1,1
2017-08-10,3,2
2017-08-11,5,4
2017-08-16,3,3
2017-08-17,5,3
2017-08-18,3,3
2017-08-21,1,1
2017-08-22,8,3
2017-08-23,4,1
2017-08-24,5,3
2017-08-28,6,3
2017-08-29,7,4
2017-08-30,1,1
2017-08-31,7,3
2017-09-01,6,2
2017-09-04,2,2
2017-09-05,5,3
2017-09-06,5,3
2017-09-07,6,1
2017-09-08,4,2
